Issuer,Future Predictions
PROD,"[177571.90227508545, 177608.25991630554, 177668.07079315186, 177728.7483215332, 177780.9453010559, 177821.3894367218, 177849.8113155365, 177867.28501319885, 177875.42939186096, 177875.94079971313, 177870.46670913696, 177860.46028137207, 177847.181558609, 177831.70223236084, 177814.8913383484, 177797.47009277344, 177779.98566627502, 177762.86959648132, 177746.43301963806, 177730.91316223145, 177716.45188331604, 177703.13024520874, 177690.99354743958, 177680.04417419434, 177670.24278640747, 177661.54885292053, 177653.8896560669, 177647.19009399414, 177641.37625694275, 177636.3730430603]"
PROT,"[1379.839341156185, 1500.1458842307331, 1701.6362529248001, 1911.2551650032403, 2093.005243688822, 2235.333736985922, 2339.3367994576693, 2411.5324784070253, 2459.8068092018366, 2491.399521008134, 2512.1149979531765, 2526.1999368667603, 2536.5257151424885, 2544.8853112757206, 2552.3035135120153, 2559.285270050168, 2566.0186763852835, 2572.5154168903828, 2578.7101965397596, 2584.512060508132, 2589.8389890789986, 2594.637829810381, 2598.8806318491697, 2602.566020563245, 2605.720343068242, 2608.3699464797974, 2610.567754134536, 2612.3648565262556, 2613.8118859380484, 2614.9592455476522]"
PTRS,"[301096.4883863926, 302100.10063648224, 304173.8667190075, 306549.3412613869, 308817.13700294495, 310769.5562839508, 312324.5378136635, 313474.2484688759, 314251.05983018875, 314706.233561039, 314897.3990678787, 314881.0933828354, 314708.3117365837, 314423.52175712585, 314063.83752822876, 313658.85972976685, 313232.2742342949, 312801.8254637718, 312380.5686235428, 311977.90879011154, 311599.8939871788, 311250.3874897957, 310931.0678243637, 310642.4944996834, 310384.1346502304, 310154.65611219406, 309952.3004293442, 309775.01606941223, 309620.69821357727, 309487.08218336105]"
RADE,"[165326.2636065483, 165240.70739746094, 165098.26064109802, 164912.95218467712, 164726.06301307678, 164557.19500780106, 164414.5303964615, 164299.61442947388, 164210.547208786, 164143.86332035065, 164095.67683935165, 164062.1981024742, 164040.13395309448, 164026.66747570038, 164019.51372623444, 164016.87413454056, 164017.35544204712, 164019.89370584488, 164023.6884355545, 164028.17219495773, 164032.91434049606, 164037.64128684998, 164042.14531183243, 164046.29975557327, 164050.04382133484, 164053.3623099327, 164056.23495578766, 164058.6820244789, 164060.7339143753, 164062.43115663528]"
REPL,"[6594979.016561568, 6597160.24227035, 6607828.768865764, 6625147.163402498, 6640997.469922245, 6655222.0614340305, 6663590.561346412, 6666691.996836185, 6664791.844940782, 6659195.920838058, 6651259.152957797, 6641308.741748631, 6629881.946365058, 6619924.898229957, 6608575.4230335355, 6597006.597434938, 6586038.413633525, 6583907.628561854, 6575223.210974932, 6567575.4812191725, 6560331.9402529, 6551445.428271234, 6544938.917930126, 6537612.08354336, 6534434.323405325, 6537632.658013761, 6536923.17063123, 6532113.390405595, 6530256.710375071, 6529320.240125537]"
RIMI,"[40681.2255859375, 40667.49038696289, 40652.57873535156, 40636.905670166016, 40620.536041259766, 40603.4797668457, 40585.89096069336, 40568.06716918945, 40550.36697387695, 40533.138275146484, 40516.658782958984, 40501.1344909668, 40486.6828918457, 40473.34976196289, 40461.12518310547, 40449.96643066406, 40439.80712890625, 40430.56564331055, 40422.169494628906, 40414.53857421875, 40407.60803222656, 40401.31607055664, 40395.609283447266, 40390.43960571289, 40385.76889038086, 40381.558990478516, 40377.774810791016, 40374.385833740234, 40371.36459350586, 40368.68133544922]"
RINS,"[964322.0284461975, 963214.7497653961, 963446.9189226627, 964022.6470947266, 964342.023229599, 964055.0710678101, 962990.6190514565, 961109.8935127258, 958460.3820621967, 955144.6255147457, 951295.4946100712, 947057.3435783386, 942572.365051508, 937972.146320343, 933372.4679887295, 928869.7913765907, 924541.5287196636, 920446.2458193302, 916624.8779416084, 913103.5669147968, 909895.2147781849, 907002.5235295296, 904419.6163237095, 902134.4017207623, 900130.4650843143, 898387.8791809082, 896885.4333281517, 895600.6333947182, 894511.5931987762, 893596.5616583824]"
RZEK,"[3772.6765632629395, 3771.3831424713135, 3769.1816568374634, 3766.775894165039, 3764.5164132118225, 3762.54665851593, 3760.8999252319336, 3759.555768966675, 3758.4734678268433, 3757.6077103614807, 3756.9170236587524, 3756.366527080536, 3755.9279322624207, 3755.5784583091736, 3755.3006649017334, 3755.0806999206543, 3754.907715320587, 3754.77294921875, 3754.6690583229065, 3754.590368270874, 3754.532039165497, 3754.4898986816406, 3754.4606924057007, 3754.4416666030884, 3754.430401325226, 3754.4252276420593, 3754.424226284027, 3754.4263124465942, 3754.430568218231, 3754.435908794403]"
RZIT,"[2436.7869555950165, 2436.623829603195, 2437.348061800003, 2438.608157634735, 2440.1726722717285, 2441.875398159027, 2443.6019241809845, 2445.27685046196, 2446.8540847301483, 2448.3076632022858, 2449.6257841587067, 2450.806349515915, 2451.8529653549194, 2452.773302793503, 2453.5770654678345, 2454.274743795395, 2454.8770904541016, 2455.394858121872, 2455.8380782604218, 2456.216126680374, 2456.5375924110413, 2456.8101465702057, 2457.0406079292297, 2457.2352707386017, 2457.3993146419525, 2457.537132501602, 2457.653248310089, 2457.7506124973297, 2457.832372188568, 2457.9008877277374]"
RZIZ,"[64315.21384418011, 64319.56294551492, 64321.44917547703, 64403.71562726796, 64626.66357308626, 65007.94922374189, 65529.223553836346, 66151.50412544608, 66829.28590476513, 67520.25333978236, 68190.34551084042, 68815.42268767953, 69380.77417761087, 69879.48662042618, 70310.53135544062, 70676.84650793672, 70983.81195217371, 71238.03477361798, 71446.47268950939, 71615.88275432587, 71752.50029936433, 71861.89530044794, 71948.86887818575, 72017.52722635865, 72071.32808119059, 72113.10818046331, 72145.24801820517, 72169.67395693064, 72187.95750290155, 72201.39134675264]"
RZLE,"[2290.041407942772, 2281.7232251167297, 2271.083554625511, 2260.3001713752747, 2250.548768043518, 2242.329451441765, 2235.7378602027893, 2230.645230412483, 2226.8220633268356, 2224.0145683288574, 2221.980506181717, 2220.515349507332, 2219.452452659607, 2218.6657696962357, 2218.0615305900574, 2217.575693130493, 2217.1649396419525, 2216.801580786705, 2216.468968987465, 2216.1587804555893, 2215.8665984869003, 2215.591913461685, 2215.333366394043, 2215.0933355093002, 2214.87233042717, 2214.6705210208893, 2214.4879072904587, 2214.3246591091156, 2214.1797572374344, 2214.0530318021774]"
RZLV,"[6173.827123641967, 6168.695545196532, 6170.819902420043, 6177.076172828673, 6188.840198516845, 6200.270819664001, 6209.898424148559, 6218.4550762176505, 6226.255536079406, 6233.442926406859, 6242.960309982299, 6250.751447677611, 6256.11388683319, 6260.219478607177, 6263.642907142638, 6266.677546501159, 6269.461584091186, 6277.711153030395, 6282.7407360076895, 6285.346555709838, 6286.649465560912, 6287.317371368407, 6287.719321250915, 6288.040661811828, 6288.363647460937, 6288.714599609374, 6289.094614982604, 6289.491629600524, 6289.8919343948355, 6290.2801752090445]"
RZTK,"[46238.305914402, 46241.82568788528, 46216.4184808731, 46172.31942415237, 46118.26311349868, 46060.729372501366, 46004.16687726974, 45951.3424873352, 45903.746151924126, 45861.98390722274, 45826.05839967727, 45795.63617706298, 45770.162808895104, 45749.04284477233, 45731.65436983108, 45790.3313755989, 45845.41053771972, 45875.82482099532, 45898.96137714385, 45920.82896232604, 45942.80769824981, 45978.27404737472, 45977.808272838585, 45934.67913866042, 45883.114457130425, 45836.757981777184, 45799.84270334243, 45772.15558290481, 45751.740896701805, 45736.32270097732]"
RZUG,"[1514.4636929035184, 1516.066491603851, 1518.112015724182, 1520.2751994132993, 1522.3958253860471, 1524.3997931480405, 1526.2550592422483, 1527.950483560562, 1529.484689235687, 1530.859303474426, 1532.079207897186, 1533.1504106521604, 1534.0805470943449, 1534.8790049552915, 1535.5559229850767, 1536.1225664615629, 1536.591202020645, 1536.9734704494474, 1537.281137704849, 1537.5252187252042, 1537.7158522605894, 1537.8623008728025, 1537.9730761051176, 1538.054811954498, 1538.1137669086454, 1538.1549477577207, 1538.182860612869, 1538.200384378433, 1538.2105231285093, 1538.2155299186704]"
RZUS,"[10438.449407458305, 10376.424092888832, 10304.125688195229, 10261.17364025116, 10207.011154532433, 10176.281502485275, 10134.140736222267, 10089.825975179672, 10049.814608931541, 10017.002724409103, 9992.07253575325, 9974.476470708847, 9963.08465230465, 9956.581963777542, 9953.711604595184, 9953.364279985428, 9954.64595067501, 9956.872687339783, 9959.549659609795, 9962.331258058548, 9965.005228757858, 9967.44464814663, 9969.593772768974, 9971.435879588127, 9972.982974886894, 9974.26593196392, 9975.318625688553, 9976.17707490921, 9976.876012086868, 9977.448454499245]"
SBT,"[221921.66477441788, 222048.0716228485, 223526.16488933563, 225152.38046646118, 224414.98667001724, 223260.7263326645, 222186.29449605942, 221366.18852615356, 220825.34164190292, 222789.5799279213, 224976.30059719086, 224774.25009012222, 222031.84217214584, 220643.93401145935, 220582.32188224792, 220893.0903673172, 219072.68404960632, 218850.23683309555, 213407.8672528267, 212790.11070728302, 212163.2108092308, 214354.38007116318, 215064.02730941772, 217711.78394556046, 220467.90689229965, 220820.91063261032, 219226.50337219238, 217684.5297217369, 216927.4777173996, 218596.73738479614]"
SDOM,"[2999.999914040425, 2999.999913821608, 2999.999913544387, 2999.999913275795, 2999.999913038977, 2999.999912837855, 2999.9999126691255, 2999.999912527732, 2999.9999124086316, 2999.999912307867, 2999.999912222629, 2999.999912150568, 2999.999912090112, 2999.9999120399807, 2999.999911999039, 2999.999911966195, 2999.999911940533, 2999.9999119210697, 2999.999911906998, 2999.9999118972482, 2999.9999118911073, 2999.999911888008, 2999.9999118872365, 2999.999911888008, 2999.999911890074, 2999.999911892897, 2999.9999118962223, 2999.999911899882, 2999.99991190352, 2999.9999119070853]"
SIL,"[7000.000416903058, 7000.000399780925, 7000.000383838429, 7000.000368789188, 7000.000354451069, 7000.000340739323, 7000.000327643531, 7000.000315203797, 7000.0003034839465, 7000.000292553188, 7000.000282470515, 7000.00027327775, 7000.000264993578, 7000.000257614185, 7000.000251115853, 7000.0002454570495, 7000.000240583671, 7000.000236432315, 7000.000232934137, 7000.000230018661, 7000.000227616358, 7000.000225659707, 7000.000224086005, 7000.000222837203, 7000.000221861032, 7000.000221111215, 7000.000220546994, 7000.000220133472, 7000.000219840149, 7000.000219642185]"
SKON,"[140000.0000468465, 140000.00004694492, 140000.00004732746, 140000.00004790106, 140000.00004859464, 140000.0000493536, 140000.0000501367, 140000.0000509133, 140000.00005166166, 140000.00005236708, 140000.00005302049, 140000.00005361735, 140000.00005415612, 140000.0000546375, 140000.00005506392, 140000.0000554391, 140000.00005576687, 140000.00005605165, 140000.00005629787, 140000.00005650969, 140000.00005669115, 140000.00005684615, 139999.99869392673, 139999.9987062175, 139999.99911792978, 139999.99956900574, 139999.99994001037, 140000.00021200127, 140000.00040021676, 140000.00052610907]"
SKP,"[6142465.361952781, 6143611.469864844, 6144818.955659865, 6146191.084384917, 6147766.971588134, 6149524.936079978, 6151412.361860274, 6153364.026546477, 6155314.171314239, 6157204.592227935, 6158987.367153167, 6160627.180337905, 6162101.32241249, 6163398.438692092, 6164516.115188598, 6165459.895133971, 6166240.328550338, 6166872.078180312, 6167371.6843128195, 6167756.670713424, 6168044.561147689, 6168251.717090606, 6168393.248319625, 6168483.370542525, 6168533.080816268, 6168552.57153511, 6168550.515174865, 6168533.617258071, 6168507.421016692, 6168475.681543349]"
SLAV,"[391618.0513769388, 391255.7056814432, 390772.5780874491, 390249.86496269703, 389733.60520005226, 389248.4338879585, 388805.99653720856, 388410.36217212677, 388061.29143834114, 387756.25270307064, 387491.56359136105, 387263.2471382618, 387067.31717288494, 386900.04529058933, 386757.94244110584, 386637.9154294729, 386537.18406260014, 386453.28114926815, 386383.9604407549, 386327.2702783346, 386281.42471015453, 386244.83110904694, 386216.1177903414, 386193.9867168665, 386177.38841176033, 386165.3010159731, 386156.8959951401, 386151.42766833305, 386148.2792377472, 386146.9351708889]"
SNBT,"[7727.418857067823, 1392.8729287348688, -7896.477168798447, -18105.63054829836, -28028.202570974827, -37017.70641505718, -44790.195578336716, -51285.42801737785, -56571.43968939781, -60781.37028217316, -64072.72554934025, -66603.42618227005, -68518.67272555828, -69944.85060274601, -70987.98562586308, -71734.6937417984, -72254.45857942104, -72602.00581550598, -72820.14319300652, -72941.97813272476, -72992.93248653412, -72992.59592592716, -72955.7909488678, -72893.98366808891, -72815.78634679317, -72727.71350741386, -72634.73518192768, -72540.59042036533, -72447.83800542355, -72358.59872996807]"
SNBTO,"[9819.85867023468, 9819.905757904053, 9821.621775627136, 9824.287295341492, 9827.068448066711, 9829.387068748474, 9830.901026725769, 9831.448197364807, 9831.018447875977, 9829.698204994202, 9827.619194984436, 9824.945330619812, 9821.842312812805, 9818.465113639832, 9814.948439598083, 9811.413288116455, 9807.942509651184, 9804.610013961792, 9801.468253135681, 9798.550009727478, 9795.871376991272, 9793.443083763123, 9791.268706321716, 9789.333939552307, 9787.629246711731, 9786.142110824585, 9784.855246543884, 9783.746600151062, 9782.801866531372, 9782.003164291382]"
SOLN,"[20491.703137755394, 20511.998891830444, 20535.328596830368, 20559.653386473656, 20584.223583340645, 20608.6662709713, 20632.655948400497, 20655.857503414154, 20677.93518304825, 20698.61474633217, 20717.69307553768, 20735.048428177834, 20750.63979625702, 20764.500498771667, 20776.710629463196, 20787.38360106945, 20796.65845632553, 20804.67616021633, 20811.580881476402, 20817.507177591324, 20822.588324546814, 20826.93260908127, 20830.644473433495, 20833.80977809429, 20836.507976055145, 20838.805705308914, 20840.762555599213, 20842.42594242096, 20843.835592269897, 20845.029950141907]"
SPAZ,"[1096068.812906742, 1095457.3437571526, 1095004.9862265587, 1094538.9300584793, 1094012.8937363625, 1093420.4384684563, 1092771.8922495842, 1092082.941532135, 1091370.3963160515, 1090649.8566269875, 1089935.2803826332, 1089238.6376857758, 1088569.3058371544, 1087935.2793097496, 1087342.046201229, 1086793.366074562, 1086291.2699580193, 1085836.8813991547, 1085429.5521974564, 1085067.7698850632, 1084749.5034337044, 1084471.8143343925, 1084231.8505048752, 1084026.41415596, 1083851.918578148, 1083705.0795555115, 1083582.6992988586, 1083481.7960858345, 1083399.3449807167, 1083332.88282156]"
SPAZP,"[456209.5388650894, 455912.28816509247, 455586.4556670189, 455301.0156273842, 455082.47116804123, 454932.19232559204, 454840.2109026909, 454792.873775959, 454776.62230730057, 454780.0237774849, 454794.43278312683, 454813.6132955551, 454833.2662343979, 454851.07671022415, 454865.4857158661, 454876.1153101921, 454883.0599784851, 454886.65041923523, 454887.1228456497, 454885.3748679161, 454881.8789124489, 454876.8711924553, 454871.1075901985, 454864.77707624435, 454858.30483436584, 454851.92707777023, 454845.7382917404, 454839.78571891785, 454834.30557250977, 454829.2506098747]"
SPOL,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
SSPR,"[34999.75395190995, 35000.08324396913, 35000.50537503557, 35000.843404675834, 35001.04915117845, 35001.14112673327, 35001.1607084889, 35001.148212351836, 35001.133253914304, 35001.133069279604, 35001.15461507812, 35001.197712728754, 35001.25812285114, 35001.32988754194, 35001.40693131834, 35001.48404506035, 35001.55721465126, 35001.623780466616, 35001.68223294895, 35001.73203239683, 35001.77332677413, 35001.80675520096, 35001.83320057113, 35001.85366545338, 35001.86917337123, 35001.88064773101, 35001.8889819039, 35001.89486180898, 35001.8989139935, 35001.901603653096]"
STB,"[132710.13913178444, 132032.80583381653, 130810.14113479853, 130319.75511533022, 130391.48029661179, 130706.13780856133, 131067.64094287157, 131458.53290504217, 131852.09657883644, 131583.5109809041, 131637.77936768532, 131383.16887670755, 131616.88924241066, 132254.02597409487, 132901.88581985235, 133493.47047281265, 133363.60836303234, 132778.47933906317, 132915.96972954273, 133435.47861462831, 133350.0321994424, 133567.81900894642, 134067.65877723694, 134584.65311020613, 134365.35515159369, 134364.7265135646, 134634.762814641, 134304.32890599966, 134303.32550299168, 134663.46255850792]"
STBP,"[72136.83006763458, 72159.41075384617, 72196.49104177952, 72240.66495001316, 72703.03330123425, 72706.90926611423, 72609.72129404545, 72499.0379780531, 72411.1973285675, 72355.41231930256, 72329.00604903698, 72325.11329054832, 72336.43554151058, 72356.71214461327, 72381.15356266499, 72406.44473731518, 72430.419293046, 72451.89160108566, 72470.28060257435, 72485.45194864273, 72497.5870102644, 72506.97799623013, 72514.01451826096, 72519.08954679966, 72522.59269356728, 72524.86318945885, 72526.21003687382, 72526.87170505524, 72527.05979347229, 72526.92544460297]"
STIL,"[10981.81264925003, 11003.828960418701, 10790.756900072098, 10586.121506929398, 10664.557889699936, 10814.478057146072, 10690.472595214844, 10544.475519180298, 10415.786221385002, 10574.198063135147, 10785.332526445389, 10946.26084947586, 10812.675919771194, 10895.096762418747, 10736.565551519394, 10830.950251340866, 10688.350892782211, 10539.247973680496, 10412.516479611397, 10319.127520561218, 10517.419509887695, 10481.424659729004, 10416.228149175644, 10594.235615491867, 10799.293103933334, 10998.97112250328, 10866.902442932129, 10950.794631958008, 10782.191508769989, 10605.865688085556]"
STOK,"[449.97336342930794, 504.21014428138733, 583.4766291081905, 683.5750490427017, 795.0199954211712, 907.0808999240398, 1010.4116052389145, 1098.2248932123184, 1166.5530502796173, 1213.9856815338135, 1241.142600774765, 1250.0569224357605, 1243.6055392026901, 1225.0245362520218, 1197.5428462028503, 1164.1370505094528, 1127.3901164531708, 1089.4180834293365, 1051.873192191124, 1015.9648954868317, 982.5204312801361, 952.0447254180908, 924.7824735939503, 900.7847495377064, 879.958625882864, 862.1121011674404, 846.9967916607857, 834.3306742608547, 823.8228410482407, 815.183836966753]"
TAJM,"[155134.22803878784, 155203.01399230957, 155299.9418258667, 155389.50371742249, 155461.66207790375, 155517.3485994339, 155561.54425144196, 155599.58038330078, 155635.7372045517, 155672.7182149887, 155711.82539463043, 155753.2737493515, 155796.50585651398, 155840.64576625824, 155884.59057807922, 155927.34887599945, 155968.00091266632, 156005.88574409485, 156040.49770832062, 156071.58596515656, 156099.01912212372, 156122.8648662567, 156143.29042434692, 156160.51080226898, 156174.82860088348, 156186.5344762802, 156195.97880840302, 156203.46021652222, 156209.29324626923, 156213.6889219284]"
TBKO,"[709400.3564610612, 708655.9327368159, 707996.5687347576, 707534.3957161531, 707269.3595420569, 707168.6652363278, 707194.6184549015, 707313.4728639852, 707497.1667190548, 707722.9934851639, 707972.8360394947, 708232.5459332205, 708491.4061347954, 708741.5346750058, 708977.5478283409, 709196.0505456664, 709395.23144532, 709574.4706157129, 709734.0829719324, 709874.9876362272, 709998.48890258, 710106.1501880176, 710199.5795432013, 710280.4279993288, 710350.2184725367, 710410.4065152351, 710462.2893957421, 710507.028828375, 710545.6404349534, 710578.991678427]"
TEAL,"[72999.99999494414, 72999.99999495727, 72999.99999497368, 72999.99999498879, 72999.9999950007, 72999.9999950091, 72999.99999501434, 72999.9999950168, 72999.99999501735, 72999.99999501632, 72999.99999501437, 72999.99999501173, 72999.99999500894, 72999.99999500613, 72999.99999500341, 72999.99999500095, 72999.99999499886, 72999.99999499701, 72999.99999499538, 72999.99999499402, 72999.99999499292, 72999.999994992, 72999.99999499127, 72999.99999499074, 72999.99999499027, 72999.9999949899, 72999.99999498973, 72999.99999498946, 72999.99999498928, 72999.99999498918]"
TEHN,"[82531.13985119853, 82521.62214805139, 82509.46753847529, 82498.36233870155, 82489.67702893424, 82483.68769796798, 82480.18533864524, 82478.78023277735, 82479.04832503991, 82480.59307137737, 82483.06853143731, 82486.18369572796, 82489.70188462408, 82493.43196774134, 82497.22648786701, 82500.97256557638, 82504.58843511296, 82508.01782560302, 82511.22415153077, 82514.18778992957, 82516.90115401288, 82519.36621585628, 82521.59082097933, 82523.5875454382, 82525.371342781, 82526.9584968919, 82528.36532221409, 82529.60867102956, 82530.70406120969, 82531.66614478687]"
TEL,"[34782.970932006836, 34782.61312866211, 34743.25476074219, 34748.71740722656, 34773.392181396484, 34768.0715637207, 34794.68557739258, 34830.829177856445, 34833.549575805664, 34863.116149902344, 34899.17234802246, 34930.00762176514, 34949.96130371094, 34955.9538269043, 34947.65333557129, 34900.04364013672, 34893.269958496094, 34868.61976623535, 34856.113037109375, 34891.60111999512, 34920.41794586182, 34966.22360229492, 34991.073181152344, 35005.96708679199, 35044.48147583008, 35094.89350891113, 35129.05416870117, 35118.11795043945, 35120.730461120605, 35123.05481719971]"
TETE,"[155817.79415011406, 156980.25941252708, 158364.72303271294, 159591.11109375954, 160527.0544230938, 161163.59946131706, 161546.2627351284, 161737.15761303902, 161796.27606272697, 161773.19023013115, 161705.36779761314, 161618.82712244987, 161530.16504645348, 161449.11505579948, 161813.46564888954, 161705.49258589745, 161500.24705529213, 161292.41216778755, 161124.40034151077, 161008.36283564568, 160940.78997969627, 160911.54272556305, 160909.1249525547, 160923.0544447899, 160945.017182827, 160969.1637158394, 160991.67240262032, 161010.45303940773, 161024.74129796028, 161034.4279885292]"
TIGA,"[28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0, 28200.0]"
TIKV,"[10409.394573885947, 10284.824640024453, 10118.473028298467, 9947.964447317645, 9792.612903052941, 9659.889784408733, 9550.577531568706, 9462.232705205679, 9391.30150899291, 9334.247534163296, 9288.051451556385, 9250.336167402565, 9219.321091659367, 9193.699927069247, 9172.51109611243, 9155.03293927759, 9140.695889480412, 9129.04089782387, 9119.66694612056, 9112.229747697711, 9106.418188661337, 8923.247804865241, 8949.089486151934, 9001.466705463827, 9050.798871554434, 9085.06401348859, 9103.486338630319, 9109.687049873173, 9108.175046741962, 9102.826780639589]"
TKPR,"[29911.30121052265, 29918.007507920265, 29929.44636940956, 29941.944628953934, 29953.717574477196, 29964.041650295258, 29972.79816865921, 29980.132192373276, 29986.288130283356, 29991.517424583435, 29996.023163199425, 29999.969750642776, 30003.467962145805, 30006.582856178284, 30009.37069952488, 30011.862263083458, 30014.070734381676, 30016.01369678974, 30017.712250351906, 30019.181340932846, 30020.442947745323, 30021.514654159546, 30022.41052687168, 30023.163095116615, 30023.790821433067, 30024.306893348694, 30024.729773402214, 30025.078803300858, 30025.36629140377, 30025.599271059036]"
TKVS,"[362641.6684895754, 362663.3574962616, 362137.8449231386, 361193.1247830391, 360010.5728805065, 358763.2426917553, 357578.63568365574, 356533.96268188953, 355664.2114341259, 354974.57914948463, 354451.5123218298, 354071.77636921406, 353808.4850758314, 353635.32969355583, 353528.9567500353, 353469.63043808937, 353441.6572242975, 355493.96037459373, 358015.25220274925, 358534.4975531101, 358293.11606287956, 357816.8241173029, 357321.98526859283, 356879.78090047836, 356499.2636680603, 356169.2239046097, 355875.9042918682, 355608.3159595728, 355359.8350137472, 355127.08157002926]"
TNB,"[3048185.322511792, 3052274.8121572733, 3059923.741141796, 3068393.7223804593, 3077018.0181482434, 3085043.3014051914, 3091883.857285261, 3097593.4948627353, 3102323.436191201, 3106108.6262441874, 3108951.229754567, 3111003.7057661414, 3112530.460937023, 3113776.728577018, 3114752.713855386, 3115576.240089953, 3116055.8830451965, 3116381.211471319, 3116884.6664881706, 3117548.9302327633, 3096382.172196269, 3092224.9573366046, 3099378.7809882164, 3109201.101777673, 3118208.5552640557, 3125219.197298467, 3129104.583558738, 3130822.144470036, 3131808.644165218, 3131690.2023522854]"
TRDB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
TRPS,"[99855.46007752419, 99713.60750496387, 99486.39009147882, 99227.61127352715, 98977.38501429558, 98760.18539071083, 98587.7038538456, 98462.69741654396, 98382.35139846802, 98340.81426262856, 98330.94701170921, 98345.44524550438, 98377.52684950829, 98421.27576470375, 98471.79681062698, 98525.20897984505, 98578.58300209045, 98629.81453537941, 98677.49378085136, 98720.76719999313, 98759.21666622162, 98792.74904727936, 98821.50009274483, 98845.76201438904, 98865.92283844948, 98882.4200630188, 98895.70862054825, 98906.23092651367, 98914.41196203232, 98920.63587903976]"
TRUB,"[9999.999818953074, 9999.999818753597, 9999.99981850182, 9999.999818266078, 9999.999818071403, 9999.999817919655, 9999.99981780391, 9999.999817714415, 9999.999817642965, 9999.99981758339, 9999.999817531672, 9999.99981748598, 9999.999817445816, 9999.999817410775, 9999.999817381555, 9999.999817358243, 9999.99981734113, 9999.999817330041, 9999.999817324773, 9999.999817324715, 9999.999817329197, 9999.999817337375, 9999.999817348493, 9999.999817361822, 9999.999817376607, 9999.999817392236, 9999.999817408156, 9999.99981742393, 9999.999817438977, 9999.999817453325]"
TSMP,"[6724.619352817536, 6736.268937587739, 6748.5838174819955, 6759.263300895692, 6767.623746395112, 6773.666763305665, 6777.684926986695, 6780.064797401429, 6781.192612648011, 6781.410193443299, 6781.001746654511, 6780.193543434144, 6779.157459735871, 6778.0187010765085, 6776.866424083711, 6775.758242607118, 6774.730527400971, 6773.80098104477, 6772.977650165559, 6772.25924730301, 6771.63965702057, 6771.1108326911935, 6770.661187171937, 6770.28170824051, 6769.9633836746225, 6769.695270061494, 6769.470930099488, 6769.283604621888, 6769.125890731812, 6768.992960453034]"
TSZS,"[36861.18982248008, 37527.46801455505, 38581.48913811892, 39825.976867973804, 41125.223948433995, 42388.87203373015, 43559.867269173265, 44605.96862696111, 45513.19387257099, 46280.463994294405, 46915.25655314326, 47430.17515614629, 47840.28549194336, 48161.31566166878, 48408.402432501316, 48595.35478502512, 48734.29950773716, 48835.55582240224, 48907.71534740925, 48957.754638791084, 48991.27508029342, 49012.63418123126, 49025.24074986577, 49031.67730644345, 49033.87975394726, 49033.294343203306, 49030.9290073812, 49027.55080237985, 49023.66616278887, 49019.63640451431]"
TTK,"[109575.22929906844, 110110.27936935423, 110644.90363597868, 110661.16748452185, 110460.28072237967, 110289.60750699042, 110500.62099099158, 110712.6989841461, 110869.84830498694, 110959.02640223502, 110995.13640403746, 110999.09822940825, 110670.2944934368, 110671.82183265685, 110382.52527117728, 110079.25124168395, 109889.15767669676, 109659.98274087904, 109520.39319276808, 109410.32294631003, 109269.96510028838, 109140.04870057105, 109516.7368352413, 109926.60988569258, 110272.35320210455, 110521.36503458022, 110359.35599803923, 110126.20998024939, 109896.05384469031, 110108.50210189818]"
TTKO,"[12.731723254546523, 25.236206129193306, 34.99044105410576, 38.781631737947464, 36.267004907131195, 28.532682918012142, 17.16731465421617, 3.7425989285111427, -10.429362300783396, -24.374276399612427, -37.44376823306084, -49.26362540572882, -59.669543989002705, -68.64408496767282, -76.26510225236416, -82.6636329293251, -87.99498900771141, -92.41778403520584, -96.08164429664612, -99.12064298987389, -101.64979845285416, -103.76546531915665, -105.54634034633636, -107.05512017011642, -108.34211483597755, -109.44629088044167, -110.39867997169495, -111.22291907668114, -111.93832382559776, -112.55983263254166]"
UNI,"[384937.9661619663, 389304.8196583986, 383079.8453092575, 376177.735427022, 380644.70642507076, 387506.0074329376, 394828.16099226475, 391202.91861891747, 396368.5440301895, 401651.7735660076, 396301.11010074615, 389325.8724987507, 382758.31838846207, 377493.1630909443, 373799.1291940212, 371620.5958634615, 370750.43881237507, 370928.0810177326, 383274.042057991, 395073.68290424347, 405367.32634305954, 403820.64163684845, 409225.40624141693, 405053.093957901, 399157.9339325428, 393358.02838504314, 388483.55625867844, 384817.7278995514, 382356.71367645264, 380960.03299057484]"
